tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_label,run_count,run_ids,raw_scenarios,schema_variants,missing_optional_columns,coverage_note
avlhashtree,proof_only_after_300k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,300K,10,total_ref_5_avl,proof_only_after_300k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_500k_then_add_100k_new,build_then_add_new,build_then_add_new,False,500K,10,total_ref_5_avl,build_500k_then_add_100k_new,current,,multiple_rows_within_run
avlhashtree,build_500k_then_reinsert_100k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,500K,10,total_ref_5_avl,build_500k_then_reinsert_100k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,500K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_500k,insert_only_build,insert_only_build,False,500K,10,total_ref_5_avl,insert_only_build_500k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_500k,insert_only_build,prehashed_ordered_insert_only,True,500K,10,total_ref_5_avl,prehashed_ordered_insert_only_500k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_500k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,500K,10,total_ref_5_avl,proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_700k_then_add_140k_new,build_then_add_new,build_then_add_new,False,700K,10,total_ref_5_avl,build_700k_then_add_140k_new,current,,multiple_rows_within_run
avlhashtree,build_700k_then_reinsert_140k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,700K,10,total_ref_5_avl,build_700k_then_reinsert_140k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,700K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_700k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_700k,insert_only_build,insert_only_build,False,700K,10,total_ref_5_avl,insert_only_build_700k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_700k,insert_only_build,prehashed_ordered_insert_only,True,700K,10,total_ref_5_avl,prehashed_ordered_insert_only_700k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_700k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,700K,10,total_ref_5_avl,proof_only_after_700k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_900k_then_add_180k_new,build_then_add_new,build_then_add_new,False,900K,10,total_ref_5_avl,build_900k_then_add_180k_new,current,,multiple_rows_within_run
avlhashtree,build_900k_then_reinsert_180k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,900K,10,total_ref_5_avl,build_900k_then_reinsert_180k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,900K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_900k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_900k,insert_only_build,insert_only_build,False,900K,10,total_ref_5_avl,insert_only_build_900k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_900k,insert_only_build,prehashed_ordered_insert_only,True,900K,10,total_ref_5_avl,prehashed_ordered_insert_only_900k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_900k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,900K,10,total_ref_5_avl,proof_only_after_900k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_1m_then_add_200k_new,build_then_add_new,build_then_add_new,False,1M,10,total_ref_5_avl,build_1m_then_add_200k_new,current,,multiple_rows_within_run
avlhashtree,build_1m_then_reinsert_200k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,1M,10,total_ref_5_avl,build_1m_then_reinsert_200k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,1M,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_1m_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_1m,insert_only_build,insert_only_build,False,1M,10,total_ref_5_avl,insert_only_build_1m,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_1m,insert_only_build,prehashed_ordered_insert_only,True,1M,10,total_ref_5_avl,prehashed_ordered_insert_only_1m,current,,multiple_rows_within_run
avlhashtree,proof_only_after_1m_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,1M,10,total_ref_5_avl,proof_only_after_1m_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_2m_then_add_400k_new,build_then_add_new,build_then_add_new,False,2M,10,total_ref_5_avl,build_2m_then_add_400k_new,current,,multiple_rows_within_run
avlhashtree,build_2m_then_reinsert_400k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,2M,10,total_ref_5_avl,build_2m_then_reinsert_400k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,2M,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_2m_build_sample_3pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_2m,insert_only_build,insert_only_build,False,2M,10,total_ref_5_avl,insert_only_build_2m,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_2m,insert_only_build,prehashed_ordered_insert_only,True,2M,10,total_ref_5_avl,prehashed_ordered_insert_only_2m,current,,multiple_rows_within_run
avlhashtree,proof_only_after_2m_build_sample_3pct,proof_only_after_build,proof_only_after_build,False,2M,10,total_ref_5_avl,proof_only_after_2m_build_sample_3pct,current,,multiple_rows_within_run
avlhashtree,build_5m_then_add_1m_new,build_then_add_new,build_then_add_new,False,5M,10,total_ref_5_avl,build_5m_then_add_1m_new,current,,multiple_rows_within_run
avlhashtree,build_5m_then_reinsert_1m_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,5M,10,total_ref_5_avl,build_5m_then_reinsert_1m_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,5M,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_5m_build_sample_3pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_5m,insert_only_build,insert_only_build,False,5M,10,total_ref_5_avl,insert_only_build_5m,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_5m,insert_only_build,prehashed_ordered_insert_only,True,5M,10,total_ref_5_avl,prehashed_ordered_insert_only_5m,current,,multiple_rows_within_run
avlhashtree,proof_only_after_5m_build_sample_3pct,proof_only_after_build,proof_only_after_build,False,5M,10,total_ref_5_avl,proof_only_after_5m_build_sample_3pct,current,,multiple_rows_within_run
avlhashtree,build_10m_then_add_2m_new,build_then_add_new,build_then_add_new,False,10M,10,total_ref_5_avl,build_10m_then_add_2m_new,current,,multiple_rows_within_run
avlhashtree,build_10m_then_reinsert_2m_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10M,10,total_ref_5_avl,build_10m_then_reinsert_2m_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,10M,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_10m_build_sample_2pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_10m,insert_only_build,insert_only_build,False,10M,10,total_ref_5_avl,insert_only_build_10m,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_10m,insert_only_build,prehashed_ordered_insert_only,True,10M,10,total_ref_5_avl,prehashed_ordered_insert_only_10m,current,,multiple_rows_within_run
avlhashtree,proof_only_after_10m_build_sample_2pct,proof_only_after_build,proof_only_after_build,False,10M,10,total_ref_5_avl,proof_only_after_10m_build_sample_2pct,current,,multiple_rows_within_run
avlhashtree,build_25m_then_add_5m_new,build_then_add_new,build_then_add_new,False,25M,10,total_ref_5_avl,build_25m_then_add_5m_new,current,,multiple_rows_within_run
avlhashtree,build_25m_then_reinsert_5m_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,25M,10,total_ref_5_avl,build_25m_then_reinsert_5m_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,25M,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_25m_build_sample_2pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_25m,insert_only_build,insert_only_build,False,25M,10,total_ref_5_avl,insert_only_build_25m,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_25m,insert_only_build,prehashed_ordered_insert_only,True,25M,10,total_ref_5_avl,prehashed_ordered_insert_only_25m,current,,multiple_rows_within_run
avlhashtree,proof_only_after_25m_build_sample_2pct,proof_only_after_build,proof_only_after_build,False,25M,10,total_ref_5_avl,proof_only_after_25m_build_sample_2pct,current,,multiple_rows_within_run
smt,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10K,10,total_ref_5_smt,build_10k_then_add_2k_new,current,,multiple_rows_within_run
smt,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10K,10,total_ref_5_smt,build_10k_then_reinsert_2k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_10k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,10K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_10k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_10k,insert_only_build,insert_only_build,False,10K,10,total_ref_5_smt,insert_only_build_10k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10K,10,total_ref_5_smt,prehashed_ordered_insert_only_10k,current,,multiple_rows_within_run
smt,proof_only_after_10k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,10K,10,total_ref_5_smt,proof_only_after_10k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50K,10,total_ref_5_smt,build_50k_then_add_10k_new,current,,multiple_rows_within_run
smt,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50K,10,total_ref_5_smt,build_50k_then_reinsert_10k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_50k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,50K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_50k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_50k,insert_only_build,insert_only_build,False,50K,10,total_ref_5_smt,insert_only_build_50k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50K,10,total_ref_5_smt,prehashed_ordered_insert_only_50k,current,,multiple_rows_within_run
smt,proof_only_after_50k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,50K,10,total_ref_5_smt,proof_only_after_50k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100K,10,total_ref_5_smt,build_100k_then_add_20k_new,current,,multiple_rows_within_run
smt,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100K,10,total_ref_5_smt,build_100k_then_reinsert_20k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_100k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,100K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_100k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_100k,insert_only_build,insert_only_build,False,100K,10,total_ref_5_smt,insert_only_build_100k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100K,10,total_ref_5_smt,prehashed_ordered_insert_only_100k,current,,multiple_rows_within_run
