tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_size,scale_label,final_scale,prebuild_scale,measured_insert_scale,bucket_start_pct,bucket_end_pct,bucket_mid_pct,run_count,avg_duration_ns,avg_duration_ns_p10,avg_duration_ns_p90,sample_count,sample_count_p10,sample_count_p90
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,70,80,75.0,10,1918.0,1867.6,1980.7,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,70,80,75.0,10,2115.5,2027.1000000000001,2314.6,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,70,80,75.0,10,1769.0,1694.4,1956.6,200,200,200
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,80,90,85.0,10,2326.5,2152.9,2380.1,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,80,90,85.0,10,2057.0,2016.6999999999998,2092.3,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,80,90,85.0,10,2117.0,2081.4,2327.1,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,80,90,85.0,10,1713.5,1649.5,1917.2,200,200,200
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,90,100,95.0,10,2350.5,2123.7,2426.2,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,90,100,95.0,10,2029.5,2006.7,2081.5,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,90,100,95.0,10,2147.5,2049.4,2234.0,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,90,100,95.0,10,1723.0,1647.7,1757.2,200,200,200
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,0,10,5.0,10,2044.0,1821.8,2073.2,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,0,10,5.0,10,1784.0,1738.5,1809.9,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,0,10,5.0,10,2683.0,2625.0,2773.9,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,0,10,5.0,10,1776.0,1688.6,1796.3,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,10,20,15.0,10,2472.5,2204.1,2523.6,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,10,20,15.0,10,2106.0,2037.5000000000002,2154.6,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,10,20,15.0,10,2578.0,2488.3,2708.8,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,10,20,15.0,10,1900.0,1853.9,2033.6999999999998,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,20,30,25.0,10,2460.5,2210.1,2553.6,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,20,30,25.0,10,2254.0,2200.7,2266.3,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,20,30,25.0,10,2556.5,2463.2,2639.1,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,20,30,25.0,10,1932.5,1878.8,1988.3999999999999,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,30,40,35.0,10,2744.0,2479.7,2781.0,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,30,40,35.0,10,2137.0,2085.0,2181.9,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,30,40,35.0,10,2577.5,2518.2,2626.7,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,30,40,35.0,10,1985.0,1905.4,2054.2,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,40,50,45.0,10,2544.0,2316.6,2589.8,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,40,50,45.0,10,2341.0,2115.8,2398.2,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,40,50,45.0,10,2497.5,2442.8,2665.1,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,40,50,45.0,10,1960.5,1925.6,2039.5000000000002,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,50,60,55.0,10,2584.0,2383.9,2648.0,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,50,60,55.0,10,2243.0,2187.6,2352.9,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,50,60,55.0,10,2523.5,2496.4,2655.5,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,50,60,55.0,10,2006.5,1953.1,2067.3,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,60,70,65.0,10,2484.0,2372.5,2643.7,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,60,70,65.0,10,2233.0,2153.7,2253.8,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,60,70,65.0,10,2614.0,2503.4,2704.1,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,60,70,65.0,10,2061.5,1988.2,2116.0,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,70,80,75.0,10,2643.0,2585.5,2716.3,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,70,80,75.0,10,2279.0,2221.7,2294.3,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,70,80,75.0,10,2540.5,2487.6,2617.6,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,70,80,75.0,10,2017.5,1992.5,2146.4,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,80,90,85.0,10,2449.0,2384.8,2528.3,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,80,90,85.0,10,2528.5,2396.2,2553.4,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,80,90,85.0,10,2523.0,2498.2,2588.7,1000,1000,1000
