scenario_family,metric,scale_size,scale_label,measured_insert_scale,final_scale,proof_sample_pct,avl_value,smt_value,avl_over_smt_ratio,leader
insert_only_build,insert_avg_ns,10000,10K,10000,10000,,2272.0,2428.0,0.9357495881383855,avlhashtree
insert_only_build,insert_avg_ns,50000,50K,50000,50000,,2494.0,2654.0,0.9397136397889977,avlhashtree
insert_only_build,insert_avg_ns,100000,100K,100000,100000,,2519.0,2900.0,0.8686206896551724,avlhashtree
insert_only_build,insert_avg_ns,200000,200K,200000,200000,,2719.0,3226.0,0.842839429634222,avlhashtree
insert_only_build,insert_avg_ns,300000,300K,300000,300000,,2947.0,3474.0,0.8483016695451928,avlhashtree
insert_only_build,insert_avg_ns,500000,500K,500000,500000,,3226.0,4101.0,0.786637405510851,avlhashtree
insert_only_build,insert_avg_ns,700000,700K,700000,700000,,3451.0,4337.0,0.7957113211897625,avlhashtree
insert_only_build,insert_avg_ns,900000,900K,900000,900000,,3704.0,4510.0,0.8212860310421286,avlhashtree
insert_only_build,insert_avg_ns,1000000,1M,1000000,1000000,,3758.0,4609.0,0.8153612497287915,avlhashtree
insert_only_build,insert_avg_ns,2000000,2M,2000000,2000000,,4410.0,5180.0,0.8513513513513513,avlhashtree
insert_only_build,insert_avg_ns,5000000,5M,5000000,5000000,,5332.0,6014.0,0.8865979381443299,avlhashtree
insert_only_build,insert_avg_ns,10000000,10M,10000000,10000000,,6090.0,6812.0,0.8940105695830887,avlhashtree
insert_only_build,insert_avg_ns,25000000,25M,25000000,25000000,,7212.0,8200.0,0.8795121951219512,avlhashtree
insert_only_build,insert_total_ns,10000,10K,10000,10000,,22721292.0,24286530.0,0.9355511882512652,avlhashtree
insert_only_build,insert_total_ns,50000,50K,50000,50000,,124725310.0,132732580.0,0.9396736656516433,avlhashtree
insert_only_build,insert_total_ns,100000,100K,100000,100000,,251984432.0,290048240.0,0.8687673195327784,avlhashtree
insert_only_build,insert_total_ns,200000,200K,200000,200000,,543934366.0,645360728.0,0.8428377222234694,avlhashtree
insert_only_build,insert_total_ns,300000,300K,300000,300000,,884208460.0,1042331251.0,0.8482989060835517,avlhashtree
insert_only_build,insert_total_ns,500000,500K,500000,500000,,1613095704.0,2050793060.0,0.7865716612089569,avlhashtree
insert_only_build,insert_total_ns,700000,700K,700000,700000,,2415850902.0,3036396656.0,0.7956308663514745,avlhashtree
insert_only_build,insert_total_ns,900000,900K,900000,900000,,3334434746.0,4058907170.0,0.8215104722387627,avlhashtree
insert_only_build,insert_total_ns,1000000,1M,1000000,1000000,,3757838079.0,4609596766.0,0.8152205647829109,avlhashtree
insert_only_build,insert_total_ns,2000000,2M,2000000,2000000,,8819342646.0,10360796338.0,0.8512224696139954,avlhashtree
insert_only_build,insert_total_ns,5000000,5M,5000000,5000000,,26662099648.0,30069303108.0,0.8866883130692341,avlhashtree
insert_only_build,insert_total_ns,10000000,10M,10000000,10000000,,60899851110.0,68121923730.0,0.8939831375193609,avlhashtree
insert_only_build,insert_total_ns,25000000,25M,25000000,25000000,,180333876454.0,205018929226.0,0.8795962262353407,avlhashtree
insert_only_build,insert_mem_alloc_mb,10000,10K,10000,10000,,2.44,5.55,0.43963963963963965,avlhashtree
insert_only_build,insert_mem_alloc_mb,50000,50K,50000,50000,,12.22,25.91,0.47163257429563876,avlhashtree
insert_only_build,insert_mem_alloc_mb,100000,100K,100000,100000,,24.66,52.14,0.47295742232451093,avlhashtree
insert_only_build,insert_mem_alloc_mb,200000,200K,200000,200000,,50.05,108.585,0.46092922595201913,avlhashtree
insert_only_build,insert_mem_alloc_mb,300000,300K,300000,300000,,72.755,156.905,0.4636882189860106,avlhashtree
insert_only_build,insert_mem_alloc_mb,500000,500K,500000,500000,,119.62,259.15,0.46158595408064834,avlhashtree
insert_only_build,insert_mem_alloc_mb,700000,700K,700000,700000,,177.81,395.305,0.4498045812726882,avlhashtree
insert_only_build,insert_mem_alloc_mb,900000,900K,900000,900000,,216.555,472.25,0.4585600847009,avlhashtree
insert_only_build,insert_mem_alloc_mb,1000000,1M,1000000,1000000,,245.475,540.585,0.4540914009822692,avlhashtree
insert_only_build,insert_mem_alloc_mb,2000000,2M,2000000,2000000,,500.885,1121.61,0.4465767958559571,avlhashtree
insert_only_build,insert_mem_alloc_mb,5000000,5M,5000000,5000000,,1199.49,2710.6099999999997,0.4425166290982473,avlhashtree
insert_only_build,insert_mem_alloc_mb,10000000,10M,10000000,10000000,,2457.99,5591.64,0.4395830203661179,avlhashtree
insert_only_build,insert_mem_alloc_mb,25000000,25M,25000000,25000000,,5855.02,13430.279999999999,0.43595665913145526,avlhashtree
insert_only_build,insert_total_alloc_mb,10000,10K,10000,10000,,2.93,6.88,0.42587209302325585,avlhashtree
insert_only_build,insert_total_alloc_mb,50000,50K,50000,50000,,14.56,34.305,0.42442792595831513,avlhashtree
insert_only_build,insert_total_alloc_mb,100000,100K,100000,100000,,29.05,68.52,0.42396380618797436,avlhashtree
insert_only_build,insert_total_alloc_mb,200000,200K,200000,200000,,58.03,137.03,0.42348390863314606,avlhashtree
insert_only_build,insert_total_alloc_mb,300000,300K,300000,300000,,87.04,205.54,0.4234698842074536,avlhashtree
insert_only_build,insert_total_alloc_mb,500000,500K,500000,500000,,145.04500000000002,342.56,0.4234148762260626,avlhashtree
insert_only_build,insert_total_alloc_mb,700000,700K,700000,700000,,203.06,479.55,0.4234386403920342,avlhashtree
insert_only_build,insert_total_alloc_mb,900000,900K,900000,900000,,261.07,616.58,0.4234162639073599,avlhashtree
insert_only_build,insert_total_alloc_mb,1000000,1M,1000000,1000000,,290.08,685.08,0.4234250014596835,avlhashtree
insert_only_build,insert_total_alloc_mb,2000000,2M,2000000,2000000,,580.19,1370.2150000000001,0.42342989968727535,avlhashtree
insert_only_build,insert_total_alloc_mb,5000000,5M,5000000,5000000,,1450.52,3425.54,0.423442727278035,avlhashtree
insert_only_build,insert_total_alloc_mb,10000000,10M,10000000,10000000,,2901.215,6851.325,0.4234531276796824,avlhashtree
insert_only_build,insert_total_alloc_mb,25000000,25M,25000000,25000000,,7254.225,17129.59,0.4234908716437463,avlhashtree
