TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
avlhashtree,proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,101537763,1692,2498,5624,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,337144115,2247,2663,6379,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,520882877,2604,2781,7228,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,1702184263,3404,2944,8886,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_10k_then_add_2k_new,10000,12000,2000,4107675,2053,"0-10%=2.123µs(n=200)|10-20%=1.997µs(n=200)|20-30%=2.186µs(n=200)|30-40%=2.05µs(n=200)|40-50%=1.977µs(n=200)|50-60%=2.036µs(n=200)|60-70%=2.028µs(n=200)|70-80%=1.992µs(n=200)|80-90%=2.092µs(n=200)|90-100%=2.05µs(n=200)",0.59,0.59,65740,16041,1001,15040,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_50k_then_add_10k_new,50000,60000,10000,25607633,2560,"0-10%=2.63µs(n=1000)|10-20%=2.654µs(n=1000)|20-30%=2.467µs(n=1000)|30-40%=2.611µs(n=1000)|40-50%=2.452µs(n=1000)|50-60%=2.491µs(n=1000)|60-70%=2.609µs(n=1000)|70-80%=2.524µs(n=1000)|80-90%=2.511µs(n=1000)|90-100%=2.652µs(n=1000)",2.91,2.91,325746,80039,5001,75038,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_100k_then_add_20k_new,100000,120000,20000,55961549,2798,"0-10%=2.851µs(n=2000)|10-20%=2.728µs(n=2000)|20-30%=2.699µs(n=2000)|30-40%=2.939µs(n=2000)|40-50%=2.936µs(n=2000)|50-60%=2.789µs(n=2000)|60-70%=2.749µs(n=2000)|70-80%=2.797µs(n=2000)|80-90%=2.779µs(n=2000)|90-100%=2.708µs(n=2000)",5.81,5.81,650751,160039,10001,150038,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_200k_then_add_40k_new,200000,240000,40000,121632696,3040,"0-10%=3.205µs(n=4000)|10-20%=3.012µs(n=4000)|20-30%=3.031µs(n=4000)|30-40%=3.035µs(n=4000)|40-50%=3.029µs(n=4000)|50-60%=2.998µs(n=4000)|60-70%=3.008µs(n=4000)|70-80%=3.029µs(n=4000)|80-90%=3.018µs(n=4000)|90-100%=3.037µs(n=4000)",11.63,11.63,1300765,320048,20001,300047,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_300k_then_add_60k_new,300000,360000,60000,215184374,3586,"0-10%=3.63µs(n=6000)|10-20%=3.533µs(n=6000)|20-30%=3.596µs(n=6000)|30-40%=3.489µs(n=6000)|40-50%=3.454µs(n=6000)|50-60%=3.462µs(n=6000)|60-70%=3.441µs(n=6000)|70-80%=3.462µs(n=6000)|80-90%=3.75µs(n=6000)|90-100%=4.042µs(n=6000)",17.43,17.43,1950774,480050,30001,450049,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_500k_then_add_100k_new,500000,600000,100000,416495845,4164,"0-10%=5.224µs(n=10000)|10-20%=4.316µs(n=10000)|20-30%=4.162µs(n=10000)|30-40%=4.02µs(n=10000)|40-50%=3.982µs(n=10000)|50-60%=3.979µs(n=10000)|60-70%=3.952µs(n=10000)|70-80%=3.948µs(n=10000)|80-90%=4.087µs(n=10000)|90-100%=3.975µs(n=10000)",29.03,29.03,3250786,800053,50001,750052,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
