TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
avlhashtree,prehashed_ordered_build_5m_then_reinsert_1m_existing,5000000,5000000,1000000,2653813169,2653,"0-10%=2.8µs(n=100000)|10-20%=2.734µs(n=100000)|20-30%=2.611µs(n=100000)|30-40%=2.609µs(n=100000)|40-50%=2.613µs(n=100000)|50-60%=2.611µs(n=100000)|60-70%=2.611µs(n=100000)|70-80%=2.662µs(n=100000)|80-90%=2.657µs(n=100000)|90-100%=2.626µs(n=100000)",106.91,106.91,29500950,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_10m_then_reinsert_2m_existing,10000000,10000000,2000000,11576624017,5788,"0-10%=4.824µs(n=200000)|10-20%=5.37µs(n=200000)|20-30%=5.623µs(n=200000)|30-40%=5.72µs(n=200000)|40-50%=5.88µs(n=200000)|50-60%=5.953µs(n=200000)|60-70%=6.006µs(n=200000)|70-80%=6.106µs(n=200000)|80-90%=6.163µs(n=200000)|90-100%=6.232µs(n=200000)",336.11,336.11,63000987,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_25m_then_reinsert_5m_existing,25000000,25000000,5000000,35127288228,7025,"0-10%=5.702µs(n=500000)|10-20%=6.48µs(n=500000)|20-30%=6.822µs(n=500000)|30-40%=6.981µs(n=500000)|40-50%=7.024µs(n=500000)|50-60%=7.186µs(n=500000)|60-70%=7.378µs(n=500000)|70-80%=7.58µs(n=500000)|80-90%=7.516µs(n=500000)|90-100%=7.58µs(n=500000)",840.40,840.40,157501095,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_10k,0,10000,10000,23847917,2384,"0-10%=1.801µs(n=1000)|10-20%=2.077µs(n=1000)|20-30%=2.147µs(n=1000)|30-40%=2.274µs(n=1000)|40-50%=2.312µs(n=1000)|50-60%=2.39µs(n=1000)|60-70%=3.217µs(n=1000)|70-80%=2.514µs(n=1000)|80-90%=2.525µs(n=1000)|90-100%=2.585µs(n=1000)",2.58,3.23,61332,72687,726,"0-10%=572ns(n=10)|10-20%=417ns(n=10)|20-30%=2.436µs(n=10)|30-40%=438ns(n=10)|40-50%=396ns(n=10)|50-60%=457ns(n=10)|60-70%=647ns(n=10)|70-80%=435ns(n=10)|80-90%=1.017µs(n=10)|90-100%=448ns(n=10)",1571,3759,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_50k,0,50000,50000,128842148,2576,"0-10%=2.135µs(n=5000)|10-20%=2.568µs(n=5000)|20-30%=2.58µs(n=5000)|30-40%=2.812µs(n=5000)|40-50%=2.697µs(n=5000)|50-60%=2.506µs(n=5000)|60-70%=2.679µs(n=5000)|70-80%=2.548µs(n=5000)|80-90%=2.601µs(n=5000)|90-100%=2.638µs(n=5000)",13.12,16.08,313880,465439,930,"0-10%=489ns(n=50)|10-20%=526ns(n=50)|20-30%=533ns(n=50)|30-40%=459ns(n=50)|40-50%=542ns(n=50)|50-60%=587ns(n=50)|60-70%=560ns(n=50)|70-80%=1.46µs(n=50)|80-90%=3.407µs(n=50)|90-100%=741ns(n=50)",1856,5557,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_100k,0,100000,100000,261554866,2615,"0-10%=2.114µs(n=10000)|10-20%=2.468µs(n=10000)|20-30%=2.51µs(n=10000)|30-40%=2.595µs(n=10000)|40-50%=2.577µs(n=10000)|50-60%=2.725µs(n=10000)|60-70%=2.663µs(n=10000)|70-80%=2.736µs(n=10000)|80-90%=2.782µs(n=10000)|90-100%=2.979µs(n=10000)",23.31,32.10,516846,653680,653,"0-10%=539ns(n=100)|10-20%=549ns(n=100)|20-30%=594ns(n=100)|30-40%=639ns(n=100)|40-50%=642ns(n=100)|50-60%=678ns(n=100)|60-70%=615ns(n=100)|70-80%=757ns(n=100)|80-90%=729ns(n=100)|90-100%=789ns(n=100)",1987,4297,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_200k,0,200000,200000,560996512,2804,"0-10%=2.259µs(n=20000)|10-20%=2.473µs(n=20000)|20-30%=2.777µs(n=20000)|30-40%=2.747µs(n=20000)|40-50%=2.855µs(n=20000)|50-60%=2.893µs(n=20000)|60-70%=2.89µs(n=20000)|70-80%=2.95µs(n=20000)|80-90%=3.119µs(n=20000)|90-100%=3.082µs(n=20000)",47.85,64.14,1081438,1630220,815,"0-10%=590ns(n=200)|10-20%=748ns(n=200)|20-30%=748ns(n=200)|30-40%=783ns(n=200)|40-50%=820ns(n=200)|50-60%=878ns(n=200)|60-70%=915ns(n=200)|70-80%=854ns(n=200)|80-90%=860ns(n=200)|90-100%=949ns(n=200)",2096,4904,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_300k,0,300000,300000,903539578,3011,"0-10%=2.311µs(n=30000)|10-20%=2.619µs(n=30000)|20-30%=2.69µs(n=30000)|30-40%=2.87µs(n=30000)|40-50%=2.921µs(n=30000)|50-60%=3.147µs(n=30000)|60-70%=3.488µs(n=30000)|70-80%=3.299µs(n=30000)|80-90%=3.343µs(n=30000)|90-100%=3.423µs(n=30000)",79.87,96.19,1930387,3239305,1079,"0-10%=1.18µs(n=300)|10-20%=1.552µs(n=300)|20-30%=827ns(n=300)|30-40%=891ns(n=300)|40-50%=958ns(n=300)|50-60%=1.009µs(n=300)|60-70%=1.058µs(n=300)|70-80%=1.064µs(n=300)|80-90%=1.067µs(n=300)|90-100%=1.186µs(n=300)",2169,5752,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_500k,0,500000,500000,1638734645,3277,"0-10%=2.408µs(n=50000)|10-20%=2.75µs(n=50000)|20-30%=2.929µs(n=50000)|30-40%=3.11µs(n=50000)|40-50%=3.339µs(n=50000)|50-60%=3.471µs(n=50000)|60-70%=3.361µs(n=50000)|70-80%=3.483µs(n=50000)|80-90%=3.902µs(n=50000)|90-100%=4.018µs(n=50000)",115.46,160.31,2542040,5604842,1120,"0-10%=791ns(n=500)|10-20%=902ns(n=500)|20-30%=1.064µs(n=500)|30-40%=1.041µs(n=500)|40-50%=1.1µs(n=500)|50-60%=1.153µs(n=500)|60-70%=1.261µs(n=500)|70-80%=1.254µs(n=500)|80-90%=1.344µs(n=500)|90-100%=1.294µs(n=500)",2256,5377,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_700k,0,700000,700000,2449660740,3499,"0-10%=2.513µs(n=70000)|10-20%=2.86µs(n=70000)|20-30%=3.116µs(n=70000)|30-40%=3.301µs(n=70000)|40-50%=3.433µs(n=70000)|50-60%=3.527µs(n=70000)|60-70%=3.717µs(n=70000)|70-80%=4.184µs(n=70000)|80-90%=4.121µs(n=70000)|90-100%=4.217µs(n=70000)",179.17,224.42,4228185,9920782,1417,"0-10%=898ns(n=700)|10-20%=1.087µs(n=700)|20-30%=1.216µs(n=700)|30-40%=1.194µs(n=700)|40-50%=1.315µs(n=700)|50-60%=1.389µs(n=700)|60-70%=1.343µs(n=700)|70-80%=2.427µs(n=700)|80-90%=1.777µs(n=700)|90-100%=1.521µs(n=700)",2319,6300,0,0,"",0,0,0,0,0,0.00,0.00,0
