TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1755595,702,1952,4727,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,6663485,1332,2069,5429,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,9025279,902,2189,5408,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,21042287,1402,2257,5613,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,45577515,1823,2347,5830,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,57611125,1646,2408,5792,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,88227766,1960,2452,6637,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,95153918,1903,2469,6251,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,162719438,2711,2590,8410,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,458030057,3053,2754,8967,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,686048543,3430,2871,9528,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2078180580,4156,3035,10127,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,332758,665,1672,4259,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1652026,660,1952,5179,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,6460631,1292,2069,5342,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,13122832,1312,2189,5440,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,20723707,1381,2257,5530,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,46649557,1865,2347,5970,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,61274343,1750,2408,5890,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,83300078,1851,2452,6158,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,97386497,1947,2469,6290,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,161265870,2687,2590,8276,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,457615660,3050,2754,8846,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,699678670,3498,2871,9333,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2065797937,4131,3035,10025,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,380398,760,1672,4462,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1676207,670,1952,4829,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,3994777,798,2069,5112,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,12933252,1293,2189,5464,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,22294304,1486,2257,5465,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,46194980,1847,2347,5720,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,64282035,1836,2408,5860,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,84803754,1884,2452,6358,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,95987533,1919,2469,6262,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,161975562,2699,2590,8373,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,454473092,3029,2754,8961,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,692916698,3464,2871,9420,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2046898669,4093,3035,10050,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,289367,578,1672,4604,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1759969,703,1952,4740,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,3674027,734,2069,5071,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,12336581,1233,2189,5390,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,21072501,1404,2257,5536,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,44331423,1773,2347,5731,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,59030555,1686,2408,5962,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,88383742,1964,2452,6601,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,97818439,1956,2469,6396,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,160593882,2676,2590,8322,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,449741328,2998,2754,8888,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,689309247,3446,2871,9448,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2058521765,4117,3035,10056,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,334330,668,1672,4605,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2155761,862,1952,4932,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,3347445,669,2069,4950,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,9731967,973,2189,5345,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,23767396,1584,2257,6024,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,54258288,2170,2347,6856,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,69694331,1991,2408,7012,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,85666881,1903,2452,6639,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,101607127,2032,2469,6446,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,156928167,2615,2590,8331,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,446993287,2979,2754,8998,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,696595702,3482,2871,9534,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2036181213,4072,3035,10010,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,724703,1449,1672,4382,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,2068362,827,1952,5155,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,3625541,725,2069,5094,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,12822844,1282,2189,5715,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,28141060,1876,2257,6598,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,52292703,2091,2347,6865,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,75898040,2168,2408,6943,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,90157986,2003,2452,6820,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,97317407,1946,2469,6456,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,153317135,2555,2590,8250,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,440468779,2936,2754,8884,0,0,0,0.00,0.00,0,0,0,0
