TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
smt,build_20m_then_add_5m_new,20000000,25000000,5000000,48998113051,9799,"0-10%=10.194µs(n=500000)|10-20%=10.039µs(n=500000)|20-30%=9.697µs(n=500000)|30-40%=9.796µs(n=500000)|40-50%=9.649µs(n=500000)|50-60%=9.71µs(n=500000)|60-70%=9.723µs(n=500000)|70-80%=9.726µs(n=500000)|80-90%=9.718µs(n=500000)|90-100%=9.741µs(n=500000)",3578.81,3578.81,308607701,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_10k_then_reinsert_2k_existing,10000,10000,2000,5166967,2583,"0-10%=3.415µs(n=200)|10-20%=2.91µs(n=200)|20-30%=2.874µs(n=200)|30-40%=2.565µs(n=200)|40-50%=2.451µs(n=200)|50-60%=2.442µs(n=200)|60-70%=2.384µs(n=200)|70-80%=2.249µs(n=200)|80-90%=2.202µs(n=200)|90-100%=2.336µs(n=200)",0.34,0.34,121888,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_50k_then_reinsert_10k_existing,50000,50000,10000,32907733,3290,"0-10%=3.835µs(n=1000)|10-20%=3.557µs(n=1000)|20-30%=3.36µs(n=1000)|30-40%=3.415µs(n=1000)|40-50%=3.17µs(n=1000)|50-60%=3.238µs(n=1000)|60-70%=3.044µs(n=1000)|70-80%=3.174µs(n=1000)|80-90%=3.027µs(n=1000)|90-100%=3.081µs(n=1000)",1.62,1.62,605893,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_100k_then_reinsert_20k_existing,100000,100000,20000,73638836,3681,"0-10%=4.212µs(n=2000)|10-20%=3.955µs(n=2000)|20-30%=3.772µs(n=2000)|30-40%=3.709µs(n=2000)|40-50%=3.63µs(n=2000)|50-60%=3.616µs(n=2000)|60-70%=3.576µs(n=2000)|70-80%=3.534µs(n=2000)|80-90%=3.401µs(n=2000)|90-100%=3.409µs(n=2000)",3.22,3.22,1210900,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_200k_then_reinsert_40k_existing,200000,200000,40000,162765063,4069,"0-10%=4.817µs(n=4000)|10-20%=4.316µs(n=4000)|20-30%=4.149µs(n=4000)|30-40%=4.054µs(n=4000)|40-50%=4.005µs(n=4000)|50-60%=3.975µs(n=4000)|60-70%=3.946µs(n=4000)|70-80%=3.882µs(n=4000)|80-90%=3.787µs(n=4000)|90-100%=3.756µs(n=4000)",6.44,6.44,2420915,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_300k_then_reinsert_60k_existing,300000,300000,60000,262277237,4371,"0-10%=5.306µs(n=6000)|10-20%=4.68µs(n=6000)|20-30%=4.494µs(n=6000)|30-40%=4.383µs(n=6000)|40-50%=4.295µs(n=6000)|50-60%=4.231µs(n=6000)|60-70%=4.168µs(n=6000)|70-80%=4.122µs(n=6000)|80-90%=4.024µs(n=6000)|90-100%=4.005µs(n=6000)",9.64,9.64,3630930,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_500k_then_reinsert_100k_existing,500000,500000,100000,475550317,4755,"0-10%=5.658µs(n=10000)|10-20%=5.064µs(n=10000)|20-30%=4.862µs(n=10000)|30-40%=4.74µs(n=10000)|40-50%=4.644µs(n=10000)|50-60%=4.615µs(n=10000)|60-70%=4.57µs(n=10000)|70-80%=4.556µs(n=10000)|80-90%=4.42µs(n=10000)|90-100%=4.421µs(n=10000)",16.05,16.05,6050945,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_700k_then_reinsert_140k_existing,700000,700000,140000,730476447,5217,"0-10%=6.064µs(n=14000)|10-20%=5.467µs(n=14000)|20-30%=5.287µs(n=14000)|30-40%=5.184µs(n=14000)|40-50%=5.111µs(n=14000)|50-60%=5.082µs(n=14000)|60-70%=5.111µs(n=14000)|70-80%=5.055µs(n=14000)|80-90%=4.931µs(n=14000)|90-100%=4.882µs(n=14000)",22.47,22.47,8470964,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_900k_then_reinsert_180k_existing,900000,900000,180000,1003306249,5573,"0-10%=6.057µs(n=18000)|10-20%=5.469µs(n=18000)|20-30%=5.337µs(n=18000)|30-40%=5.281µs(n=18000)|40-50%=5.233µs(n=18000)|50-60%=5.172µs(n=18000)|60-70%=5.442µs(n=18000)|70-80%=6.233µs(n=18000)|80-90%=5.833µs(n=18000)|90-100%=5.677µs(n=18000)",28.89,28.89,10890976,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_1m_then_reinsert_200k_existing,1000000,1000000,200000,1077607134,5388,"0-10%=6.156µs(n=20000)|10-20%=5.575µs(n=20000)|20-30%=5.374µs(n=20000)|30-40%=5.295µs(n=20000)|40-50%=5.3µs(n=20000)|50-60%=5.317µs(n=20000)|60-70%=5.32µs(n=20000)|70-80%=5.178µs(n=20000)|80-90%=5.174µs(n=20000)|90-100%=5.187µs(n=20000)",32.09,32.09,12100984,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,prehashed_ordered_build_1m_then_reinsert_200k_existing,1000000,1000000,200000,588800060,2944,"0-10%=2.869µs(n=20000)|10-20%=3.002µs(n=20000)|20-30%=3.034µs(n=20000)|30-40%=3.017µs(n=20000)|40-50%=2.946µs(n=20000)|50-60%=2.925µs(n=20000)|60-70%=2.913µs(n=20000)|70-80%=2.869µs(n=20000)|80-90%=2.861µs(n=20000)|90-100%=2.999µs(n=20000)",19.88,19.88,11700991,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_2m_then_reinsert_400k_existing,2000000,2000000,400000,2434001244,6085,"0-10%=6.535µs(n=40000)|10-20%=6.178µs(n=40000)|20-30%=6.099µs(n=40000)|30-40%=6.062µs(n=40000)|40-50%=6.02µs(n=40000)|50-60%=6.079µs(n=40000)|60-70%=6.079µs(n=40000)|70-80%=6.011µs(n=40000)|80-90%=5.896µs(n=40000)|90-100%=5.886µs(n=40000)",64.19,64.19,24200949,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_5m_then_reinsert_1m_existing,5000000,5000000,1000000,6880769073,6880,"0-10%=7.233µs(n=100000)|10-20%=6.922µs(n=100000)|20-30%=6.891µs(n=100000)|30-40%=6.868µs(n=100000)|40-50%=6.894µs(n=100000)|50-60%=6.881µs(n=100000)|60-70%=6.86µs(n=100000)|70-80%=6.775µs(n=100000)|80-90%=6.729µs(n=100000)|90-100%=6.749µs(n=100000)",160.46,160.46,60500978,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,prehashed_ordered_build_5m_then_reinsert_1m_existing,5000000,5000000,1000000,3210496233,3210,"0-10%=3.087µs(n=100000)|10-20%=3.234µs(n=100000)|20-30%=3.228µs(n=100000)|30-40%=3.303µs(n=100000)|40-50%=3.121µs(n=100000)|50-60%=3.1µs(n=100000)|60-70%=3.061µs(n=100000)|70-80%=3.039µs(n=100000)|80-90%=3.483µs(n=100000)|90-100%=3.443µs(n=100000)",99.30,99.30,58500974,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_10m_then_reinsert_2m_existing,10000000,10000000,2000000,15636493355,7818,"0-10%=7.997µs(n=200000)|10-20%=7.868µs(n=200000)|20-30%=7.868µs(n=200000)|30-40%=7.828µs(n=200000)|40-50%=7.796µs(n=200000)|50-60%=7.785µs(n=200000)|60-70%=7.824µs(n=200000)|70-80%=7.751µs(n=200000)|80-90%=7.669µs(n=200000)|90-100%=7.792µs(n=200000)",320.96,320.96,121001026,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_25m_then_reinsert_5m_existing,25000000,25000000,5000000,46632594043,9326,"0-10%=9.532µs(n=500000)|10-20%=9.437µs(n=500000)|20-30%=9.423µs(n=500000)|30-40%=9.358µs(n=500000)|40-50%=9.323µs(n=500000)|50-60%=9.27µs(n=500000)|60-70%=9.234µs(n=500000)|70-80%=9.189µs(n=500000)|80-90%=9.227µs(n=500000)|90-100%=9.269µs(n=500000)",802.74,802.74,302501173,0,0,"",0,0,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_10k,0,10000,10000,26765295,2676,"0-10%=2.036µs(n=1000)|10-20%=2.262µs(n=1000)|20-30%=2.357µs(n=1000)|30-40%=3.015µs(n=1000)|40-50%=2.576µs(n=1000)|50-60%=2.642µs(n=1000)|60-70%=3.249µs(n=1000)|70-80%=3.062µs(n=1000)|80-90%=2.715µs(n=1000)|90-100%=2.846µs(n=1000)",5.69,7.19,131219,312792,3127,"0-10%=2.834µs(n=10)|10-20%=2.935µs(n=10)|20-30%=2.643µs(n=10)|30-40%=3.163µs(n=10)|40-50%=2.878µs(n=10)|50-60%=2.86µs(n=10)|60-70%=3.558µs(n=10)|70-80%=4.477µs(n=10)|80-90%=2.886µs(n=10)|90-100%=3.04µs(n=10)",631,3891,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_50k,0,50000,50000,137448422,2748,"0-10%=2.374µs(n=5000)|10-20%=2.538µs(n=5000)|20-30%=2.735µs(n=5000)|30-40%=2.572µs(n=5000)|40-50%=2.736µs(n=5000)|50-60%=2.969µs(n=5000)|60-70%=2.762µs(n=5000)|70-80%=2.738µs(n=5000)|80-90%=2.811µs(n=5000)|90-100%=3.25µs(n=5000)",25.99,35.83,575622,1369012,2738,"0-10%=2.1µs(n=50)|10-20%=2.069µs(n=50)|20-30%=1.843µs(n=50)|30-40%=2.3µs(n=50)|40-50%=2.441µs(n=50)|50-60%=3.62µs(n=50)|60-70%=3.656µs(n=50)|70-80%=3.005µs(n=50)|80-90%=2.873µs(n=50)|90-100%=3.469µs(n=50)",720,3629,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_100k,0,100000,100000,286903977,2869,"0-10%=2.386µs(n=10000)|10-20%=2.56µs(n=10000)|20-30%=2.673µs(n=10000)|30-40%=2.769µs(n=10000)|40-50%=3.053µs(n=10000)|50-60%=2.912µs(n=10000)|60-70%=2.955µs(n=10000)|70-80%=3.026µs(n=10000)|80-90%=3.243µs(n=10000)|90-100%=3.109µs(n=10000)",54.46,71.57,1231694,3115443,3115,"0-10%=3.04µs(n=100)|10-20%=3.157µs(n=100)|20-30%=3.055µs(n=100)|30-40%=3.218µs(n=100)|40-50%=3.02µs(n=100)|50-60%=3.221µs(n=100)|60-70%=2.875µs(n=100)|70-80%=3.344µs(n=100)|80-90%=3.188µs(n=100)|90-100%=3.033µs(n=100)",759,3853,0,0,"",0,0,0,0,0,0.00,0.00,0
