TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
smt,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,25381471,5076,718,10577,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,57746305,5774,757,11789,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,73189399,4879,779,11741,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,141867744,5674,807,12795,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,189698804,5419,825,12102,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,232508415,5166,839,12977,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,226979745,4539,845,12088,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,412162913,6869,883,13207,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1146909248,7646,933,14646,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1677065432,8385,971,14943,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,4756867229,9513,1022,16645,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1539720,3079,593,8079,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,7188258,2875,681,7907,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,21397221,4279,718,9917,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,44431211,4443,757,10153,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,76670814,5111,779,11445,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,150806900,6032,807,13138,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,202746893,5792,825,12153,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,234860193,5219,839,12747,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,237419581,4748,845,12742,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,412093338,6868,883,13385,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1141371551,7609,933,14529,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1676088468,8380,971,14834,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,4732999274,9465,1022,16539,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1230916,2461,593,8254,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,7224275,2889,681,7670,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,16813474,3362,718,8694,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,41158739,4115,757,10088,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,65494039,4366,779,10853,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,139001308,5560,807,12203,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,199947147,5712,825,12776,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,227446549,5054,839,12711,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,220871602,4417,845,12109,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,410669277,6844,883,13372,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_5m_build_sample_3pct,5000000,5000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1142134619,7614,933,14605,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10m_build_sample_2pct,10000000,10000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1677736386,8388,971,15054,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_25m_build_sample_2pct,25000000,25000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,4626354928,9252,1022,16813,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1067557,2135,593,7335,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,7242317,2896,681,7993,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,17200556,3440,718,8707,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,41511474,4151,757,9912,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,65455334,4363,779,10868,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,168813296,6752,807,12975,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,199101337,5688,825,12245,0,0,0,0.00,0.00,0,0,0,0
